ìÂ;ìÀ
1.2024E-02;2.4049E-06
1.2143E-02;2.4285E-06
1.2226E-02;2.4451E-06
1.2268E-02;2.4537E-06
1.2393E-02;2.4786E-06
1.2435E-02;2.4870E-06
1.2509E-02;2.5017E-06
1.2531E-02;2.5062E-06
1.2579E-02;2.5157E-06
1.2644E-02;2.5287E-06
1.2656E-02;2.5312E-06
1.2660E-02;2.5321E-06
1.2674E-02;2.5349E-06
1.2724E-02;2.5448E-06
1.2730E-02;2.5461E-06
1.2746E-02;2.5492E-06
1.2795E-02;2.5589E-06
1.2797E-02;2.5595E-06
1.2810E-02;2.5621E-06
1.2815E-02;2.5630E-06
1.2850E-02;2.5701E-06
1.2854E-02;2.5708E-06
1.2867E-02;2.5734E-06
1.2881E-02;2.5762E-06
1.2881E-02;2.5762E-06
1.2904E-02;2.5809E-06
1.2909E-02;2.5818E-06
1.2924E-02;2.5848E-06
1.2925E-02;2.5850E-06
1.2934E-02;2.5869E-06
1.2940E-02;2.5880E-06
1.2948E-02;2.5896E-06
1.2949E-02;2.5898E-06
1.2950E-02;2.5900E-06
1.2958E-02;2.5917E-06
1.2962E-02;2.5924E-06
1.2998E-02;2.5995E-06
1.3003E-02;2.6006E-06
1.3005E-02;2.6010E-06
1.3019E-02;2.6038E-06
1.3032E-02;2.6064E-06
1.3066E-02;2.6131E-06
1.3073E-02;2.6146E-06
1.3115E-02;2.6230E-06
1.3126E-02;2.6252E-06
1.3135E-02;2.6269E-06
1.3153E-02;2.6306E-06
1.3158E-02;2.6316E-06
1.3161E-02;2.6321E-06
1.3175E-02;2.6351E-06
1.3182E-02;2.6364E-06
1.3183E-02;2.6366E-06
1.3189E-02;2.6377E-06
1.3190E-02;2.6381E-06
1.3197E-02;2.6394E-06
1.3200E-02;2.6399E-06
1.3207E-02;2.6414E-06
1.3212E-02;2.6424E-06
1.3224E-02;2.6448E-06
1.3226E-02;2.6452E-06
1.3230E-02;2.6461E-06
1.3230E-02;2.6461E-06
1.3231E-02;2.6463E-06
1.3232E-02;2.6465E-06
1.3262E-02;2.6524E-06
1.3265E-02;2.6530E-06
1.3272E-02;2.6545E-06
1.3279E-02;2.6558E-06
1.3283E-02;2.6565E-06
1.3285E-02;2.6571E-06
1.3287E-02;2.6574E-06
1.3301E-02;2.6602E-06
1.3311E-02;2.6621E-06
1.3315E-02;2.6630E-06
1.3319E-02;2.6638E-06
1.3324E-02;2.6647E-06
1.3329E-02;2.6658E-06
1.3338E-02;2.6675E-06
1.3339E-02;2.6679E-06
1.3340E-02;2.6681E-06
1.3343E-02;2.6686E-06
1.3348E-02;2.6696E-06
1.3360E-02;2.6720E-06
1.3383E-02;2.6766E-06
1.3383E-02;2.6766E-06
1.3400E-02;2.6800E-06
1.3400E-02;2.6800E-06
1.3403E-02;2.6805E-06
1.3411E-02;2.6822E-06
1.3427E-02;2.6854E-06
1.3430E-02;2.6859E-06
1.3437E-02;2.6874E-06
1.3439E-02;2.6878E-06
1.3457E-02;2.6913E-06
1.3458E-02;2.6915E-06
1.3458E-02;2.6915E-06
1.3473E-02;2.6945E-06
1.3475E-02;2.6951E-06
1.3482E-02;2.6964E-06
1.3487E-02;2.6973E-06
1.3488E-02;2.6977E-06
1.3491E-02;2.6982E-06
1.3491E-02;2.6982E-06
1.3496E-02;2.6992E-06
1.3497E-02;2.6994E-06
1.3506E-02;2.7012E-06
1.3507E-02;2.7014E-06
1.3510E-02;2.7020E-06
1.3521E-02;2.7042E-06
1.3526E-02;2.7051E-06
1.3528E-02;2.7057E-06
1.3532E-02;2.7064E-06
1.3534E-02;2.7068E-06
1.3534E-02;2.7068E-06
1.3540E-02;2.7079E-06
1.3559E-02;2.7118E-06
1.3575E-02;2.7150E-06
1.3580E-02;2.7159E-06
1.3582E-02;2.7165E-06
1.3594E-02;2.7187E-06
1.3598E-02;2.7197E-06
1.3601E-02;2.7202E-06
1.3602E-02;2.7204E-06
1.3603E-02;2.7206E-06
1.3608E-02;2.7215E-06
1.3609E-02;2.7217E-06
1.3610E-02;2.7221E-06
1.3610E-02;2.7221E-06
1.3613E-02;2.7226E-06
1.3618E-02;2.7236E-06
1.3618E-02;2.7236E-06
1.3628E-02;2.7256E-06
1.3628E-02;2.7256E-06
1.3632E-02;2.7264E-06
1.3639E-02;2.7279E-06
1.3640E-02;2.7280E-06
1.3648E-02;2.7295E-06
1.3655E-02;2.7310E-06
1.3662E-02;2.7323E-06
1.3663E-02;2.7325E-06
1.3669E-02;2.7338E-06
1.3677E-02;2.7353E-06
1.3688E-02;2.7375E-06
1.3702E-02;2.7403E-06
1.3704E-02;2.7409E-06
1.3706E-02;2.7413E-06
1.3708E-02;2.7416E-06
1.3709E-02;2.7418E-06
1.3721E-02;2.7442E-06
1.3727E-02;2.7454E-06
1.3731E-02;2.7461E-06
1.3735E-02;2.7470E-06
1.3736E-02;2.7472E-06
1.3752E-02;2.7504E-06
1.3775E-02;2.7551E-06
1.3776E-02;2.7552E-06
1.3807E-02;2.7614E-06
1.3808E-02;2.7616E-06
1.3827E-02;2.7655E-06
1.3838E-02;2.7675E-06
1.3839E-02;2.7677E-06
1.3840E-02;2.7681E-06
1.3848E-02;2.7696E-06
1.3862E-02;2.7724E-06
1.3865E-02;2.7729E-06
1.3868E-02;2.7737E-06
1.3869E-02;2.7739E-06
1.3883E-02;2.7767E-06
1.3888E-02;2.7776E-06
1.3908E-02;2.7817E-06
1.3916E-02;2.7832E-06
1.3920E-02;2.7839E-06
1.3922E-02;2.7845E-06
1.3923E-02;2.7847E-06
1.3930E-02;2.7860E-06
1.3932E-02;2.7863E-06
1.3949E-02;2.7899E-06
1.3951E-02;2.7903E-06
1.3954E-02;2.7908E-06
1.3965E-02;2.7930E-06
1.3967E-02;2.7934E-06
1.3976E-02;2.7953E-06
1.3993E-02;2.7986E-06
1.4000E-02;2.7999E-06
1.4014E-02;2.8027E-06
1.4027E-02;2.8053E-06
1.4052E-02;2.8104E-06
1.4061E-02;2.8122E-06
1.4064E-02;2.8128E-06
1.4089E-02;2.8178E-06
1.4104E-02;2.8208E-06
1.4114E-02;2.8229E-06
1.4144E-02;2.8288E-06
1.4144E-02;2.8288E-06
1.4155E-02;2.8310E-06
1.4179E-02;2.8357E-06
1.4291E-02;2.8582E-06
1.4330E-02;2.8661E-06
1.4409E-02;2.8817E-06
1.4492E-02;2.8985E-06
